,number_susceptible,number_infected,number_resistant
204,3309,4261,351
205,3268,4298,355
206,3223,4340,358
207,3162,4394,365
208,3102,4447,372
209,3038,4502,381
210,2985,4549,387
211,2939,4590,392
212,2877,4642,402
213,2832,4679,410
214,2778,4725,418
215,2740,4758,423
216,2705,4785,431
217,2647,4837,437
218,2596,4884,441
219,2550,4918,453
220,2493,4958,470
221,2432,5011,478
222,2390,5047,484
223,2343,5089,489
224,2300,5123,498
225,2249,5170,502
226,2209,5202,510
227,2160,5245,516
228,2121,5276,524
229,2071,5319,531
230,2038,5341,542
231,1992,5383,546
232,1955,5414,552
233,1913,5444,564
234,1874,5472,575
235,1846,5493,582
236,1812,5517,592
237,1770,5547,604
238,1746,5563,612
239,1694,5604,623
240,1666,5624,631
241,1632,5649,640
242,1596,5674,651
243,1574,5688,659
244,1538,5716,667
245,1505,5748,668
246,1483,5758,680
247,1448,5790,683
248,1422,5809,690
249,1393,5829,699
250,1368,5848,705
251,1336,5871,714
252,1304,5897,720
253,1269,5923,729
254,1243,5936,742
255,1214,5957,750
256,1199,5970,752
257,1183,5978,760
258,1165,5988,768
259,1140,6003,778
260,1116,6020,785
261,1095,6023,803
262,1075,6031,815
263,1052,6043,826
264,1033,6055,833
265,1008,6065,848
266,981,6084,856
267,959,6100,862
268,929,6125,867
269,900,6145,876
270,887,6151,883
271,865,6163,893
272,845,6176,900
273,819,6194,908
274,805,6199,917
275,786,6203,932
276,770,6210,941
277,746,6225,950
278,724,6236,961
279,712,6238,971
280,694,6241,986
281,678,6244,999
282,658,6258,1005
283,640,6265,1016
284,627,6264,1030
285,616,6265,1040
286,599,6270,1052
287,585,6273,1063
288,575,6268,1078
289,561,6273,1087
290,549,6274,1098
291,536,6280,1105
292,525,6282,1114
293,513,6286,1122
294,499,6291,1131
295,492,6285,1144
296,481,6284,1156
297,471,6283,1167
298,465,6279,1177
299,452,6288,1181
300,443,6286,1192
301,432,6291,1198
302,426,6285,1210
303,418,6284,1219
304,414,6278,1229
305,399,6286,1236
306,387,6289,1245
307,377,6286,1258
308,369,6289,1263
309,357,6292,1272
310,353,6286,1282
311,348,6284,1289
312,343,6279,1299
313,333,6283,1305
314,322,6279,1320
315,314,6278,1329
316,306,6280,1335
317,295,6277,1349
318,290,6269,1362
319,281,6269,1371
320,273,6269,1379
321,268,6264,1389
322,261,6265,1395
323,257,6260,1404
324,252,6257,1412
325,244,6252,1425
326,237,6253,1431
327,229,6255,1437
328,221,6252,1448
329,217,6248,1456
330,210,6241,1470
331,206,6236,1479
332,202,6227,1492
333,201,6221,1499
334,198,6211,1512
335,193,6206,1522
336,190,6199,1532
337,184,6187,1550
338,178,6185,1558
339,173,6183,1565
340,169,6181,1571
341,167,6169,1585
342,163,6165,1593
343,161,6153,1607
344,157,6141,1623
345,150,6140,1631
346,146,6137,1638
347,143,6131,1647
348,139,6126,1656
349,134,6121,1666
350,133,6115,1673
351,133,6105,1683
352,129,6104,1688
353,129,6095,1697
354,129,6085,1707
355,123,6075,1723
356,122,6070,1729
357,119,6066,1736
358,116,6060,1745
359,112,6054,1755
360,111,6044,1766
361,109,6037,1775
362,102,6036,1783
363,103,6027,1791
364,100,6016,1805
365,100,6006,1815
366,100,5994,1827
