,number_susceptible,number_infected,number_resistant,results_tweets,sustainablity_score,infected_low
74,6852,1047,22,21,0.6494760762529984,0.18947368421052632
75,6843,1055,23,22,0.6486554727938392,0.18947368421052632
76,6831,1067,23,26,0.6475192526196187,0.18947368421052632
77,6828,1069,24,13,0.6472667592475698,0.18947368421052632
78,6807,1089,25,34,0.64530993561419,0.18947368421052632
79,6795,1101,25,22,0.6441737154399696,0.18947368421052632
80,6784,1112,25,20,0.6431321802802676,0.18947368421052632
81,6773,1122,26,16,0.6421222067920718,0.18947368421052632
82,6766,1127,28,17,0.6415225350334554,0.18947368421052632
83,6758,1132,31,13,0.6408597399318268,0.18947368421052632
84,6753,1137,31,19,0.6403863148592349,0.18947368421052632
85,6749,1141,31,15,0.6400075748011614,0.18947368421052632
86,6743,1145,33,15,0.6395025880570635,0.18947368421052632
87,6736,1150,35,17,0.6389029162984472,0.18947368421052632
88,6726,1159,36,19,0.6379876278247696,0.18947368421052632
89,6719,1166,36,16,0.6373248327231411,0.18947368421052632
90,6708,1175,38,17,0.6363464209064512,0.18947368421052632
91,6701,1181,39,15,0.6357151874763288,0.18947368421052632
92,6691,1191,39,17,0.6347683373311451,0.18947368421052632
93,6684,1198,39,19,0.6341055422295164,0.18947368421052632
94,6676,1205,40,19,0.6333796237848757,0.18947368421052632
95,6668,1212,41,17,0.6326537053402348,0.18947368421052632
96,6659,1221,41,19,0.6318015402095696,0.18947368421052632
97,6652,1228,41,11,0.631138745107941,0.18947368421052632
98,6640,1239,42,20,0.6300340866052266,0.18947368421052632
99,6624,1254,43,23,0.6285506880444388,0.18947368421052632
100,6615,1261,45,23,0.6277616462567858,0.18947368421052632
101,6606,1269,46,20,0.6269410427976265,0.18947368421052632
102,6593,1282,46,21,0.6257101376088877,0.18947368421052632
103,6580,1295,46,22,0.624479232420149,0.18947368421052632
104,6570,1305,46,25,0.6235323822749653,0.18947368421052632
105,6562,1313,46,16,0.6227749021588184,0.18947368421052632
106,6552,1322,47,19,0.6218596136851409,0.18947368421052632
107,6540,1334,47,26,0.6207233935109204,0.18947368421052632
108,6532,1339,50,14,0.6200605984092918,0.18947368421052632
109,6514,1356,51,31,0.6183878298194673,0.19473684210526315
110,6501,1369,51,24,0.6171569246307285,0.19473684210526315
111,6494,1376,51,11,0.6164941295290999,0.19473684210526315
112,6488,1382,51,17,0.6159260194419897,0.19473684210526315
113,6482,1388,51,15,0.6153579093548794,0.19473684210526315
114,6469,1400,52,22,0.6141585658376467,0.19473684210526315
115,6456,1413,52,23,0.6129276606489079,0.19473684210526315
116,6446,1423,52,17,0.6119808105037242,0.19473684210526315
117,6437,1431,53,20,0.6111602070445652,0.19473684210526315
118,6428,1439,54,21,0.610339603585406,0.19473684210526315
119,6423,1444,54,18,0.6098661785128141,0.19473684210526315
120,6414,1453,54,16,0.6090140133821487,0.19473684210526315
121,6405,1461,55,19,0.6081934099229895,0.19473684210526315
122,6393,1473,55,23,0.6070571897487691,0.19473684210526315
123,6379,1486,56,19,0.6057631612170181,0.19473684210526315
124,6372,1493,56,15,0.6051003661153895,0.2
125,6366,1499,56,13,0.6045322560282793,0.2
126,6358,1507,56,17,0.6037747759121324,0.2
127,6346,1519,56,27,0.6026385557379119,0.20526315789473684
128,6333,1532,56,28,0.6014076505491731,0.20526315789473684
129,6326,1537,58,15,0.6008079787905568,0.20526315789473684
130,6321,1542,58,19,0.6003345537179648,0.20526315789473684
131,6306,1557,58,36,0.5989142785001893,0.21052631578947367
132,6299,1564,58,26,0.5982514833985607,0.21052631578947367
133,6296,1566,59,18,0.5979989900265119,0.21052631578947367
134,6282,1579,60,21,0.5967049614947607,0.21052631578947367
135,6272,1589,60,23,0.5957581113495771,0.21052631578947367
136,6261,1599,61,19,0.5947481378613811,0.21052631578947367
137,6255,1604,62,18,0.5942115894457771,0.21052631578947367
138,6250,1609,62,18,0.5937381643731853,0.21052631578947367
139,6241,1617,63,21,0.592917560914026,0.21052631578947367
140,6231,1627,63,20,0.5919707107688423,0.21052631578947367
141,6225,1631,65,21,0.5914657240247443,0.21052631578947367
142,6218,1635,68,17,0.5908976139376341,0.21052631578947367
143,6212,1640,69,13,0.59036106552203,0.21052631578947367
144,6206,1645,70,21,0.5898245171064259,0.21052631578947367
145,6196,1655,70,21,0.5888776669612422,0.21578947368421053
146,6186,1664,71,21,0.5879623784875646,0.21578947368421053
147,6179,1669,73,11,0.5873627067289483,0.21578947368421053
148,6174,1673,74,15,0.5869208433278627,0.21578947368421053
149,6173,1673,75,15,0.5868577199848504,0.21578947368421053
150,6168,1678,75,18,0.5863842949122586,0.21578947368421053
151,6161,1684,76,21,0.585753061482136,0.21578947368421053
