,number_susceptible,number_infected,number_resistant
273,5204,2517,200
274,5166,2555,200
275,5136,2581,204
276,5107,2606,208
277,5067,2643,211
278,5028,2679,214
279,4993,2712,216
280,4963,2738,220
281,4920,2776,225
282,4890,2804,227
283,4849,2842,230
284,4820,2871,230
285,4786,2902,233
286,4751,2936,234
287,4716,2968,237
288,4686,2997,238
289,4648,3033,240
290,4616,3064,241
291,4579,3096,246
292,4546,3128,247
293,4512,3159,250
294,4473,3193,255
295,4441,3222,258
296,4405,3251,265
297,4356,3296,269
298,4315,3337,269
299,4287,3361,273
300,4249,3395,277
301,4223,3414,284
302,4181,3454,286
303,4147,3485,289
304,4114,3512,295
305,4084,3535,302
306,4048,3568,305
307,4003,3609,309
308,3959,3644,318
309,3910,3689,322
310,3877,3714,330
311,3844,3741,336
312,3811,3771,339
313,3774,3803,344
314,3739,3836,346
315,3705,3864,352
316,3668,3896,357
317,3628,3934,359
318,3581,3977,363
319,3541,4012,368
320,3495,4052,374
321,3464,4078,379
322,3432,4107,382
323,3403,4130,388
324,3368,4164,389
325,3331,4192,398
326,3301,4217,403
327,3266,4242,413
328,3236,4264,421
329,3198,4301,422
330,3162,4332,427
331,3123,4364,434
332,3100,4380,441
333,3058,4420,443
334,3022,4451,448
335,2995,4470,456
336,2959,4502,460
337,2926,4530,465
338,2884,4568,469
339,2856,4593,472
340,2822,4615,484
341,2787,4647,487
342,2759,4668,494
343,2730,4687,504
344,2704,4707,510
345,2671,4737,513
346,2635,4769,517
347,2595,4804,522
348,2565,4831,525
349,2533,4857,531
350,2501,4884,536
351,2469,4912,540
352,2430,4942,549
353,2397,4969,555
